2022-04-30 09:59:31,146: 'h'
2022-04-30 09:59:31,335: 'o'
2022-04-30 09:59:31,505: 'l'
2022-04-30 09:59:31,591: 'a'
2022-04-30 09:59:32,073: Key.space
2022-04-30 09:59:32,209: 'm'
2022-04-30 09:59:32,373: 'u'
2022-04-30 09:59:32,457: 'n'
2022-04-30 09:59:32,581: 'd'
2022-04-30 09:59:32,680: 'o'
2022-04-30 10:03:10,173: Key.right
2022-04-30 10:03:11,950: Key.right
2022-04-30 10:03:13,483: Key.right
2022-04-30 10:03:31,079: Key.esc
2022-04-30 10:06:16,319: Key.up
2022-04-30 10:06:17,120: Key.up
2022-04-30 10:06:17,377: Key.up
2022-04-30 10:06:18,025: Key.down
2022-04-30 10:06:18,547: Key.down
2022-04-30 10:06:22,854: Key.down
2022-04-30 10:14:19,411: 'j'
2022-04-30 10:14:19,523: 'a'
2022-04-30 10:14:19,631: 'c'
2022-04-30 10:14:19,823: 'o'
2022-04-30 10:14:20,032: 'n'
2022-04-30 10:14:20,113: Key.space
2022-04-30 10:14:20,274: 'y'
2022-04-30 10:14:20,367: Key.space
2022-04-30 10:14:20,449: 'r'
2022-04-30 10:14:20,571: 'e'
2022-04-30 10:14:20,623: 'b'
2022-04-30 10:14:20,720: 'e'
2022-04-30 10:14:20,857: 'c'
2022-04-30 10:14:20,943: 'a'
2022-04-30 10:14:21,087: Key.enter
2022-04-30 10:17:22,890: 'r'
2022-04-30 10:17:22,966: 'a'
2022-04-30 10:17:23,149: 'q'
2022-04-30 10:17:23,248: 'u'
2022-04-30 10:17:23,335: 'e'
2022-04-30 10:17:23,500: 'l'
2022-04-30 10:17:23,507: Key.space
2022-04-30 10:17:23,853: 'y'
2022-04-30 10:17:23,865: Key.space
2022-04-30 10:17:24,080: 'l'
2022-04-30 10:17:24,182: 'e'
